214	192	86	74
204	182	107	94
198	176	118	108
197	174	124	113
196	176	127	110
201	177	119	110
200	176	123	115
202	174	119	119
203	175	120	120
208	182	111	107
187	186	109	101
190	190	106	94
193	167	100	100
194	168	101	101
194	168	101	101
195	169	102	102
195	169	102	102
191	170	112	103
194	168	108	108
191	173	116	100
192	173	115	100
196	170	108	108
193	171	116	108
176	174	112	104
183	178	100	97
185	178	99	99
185	178	99	99
186	179	100	100
186	185	100	89
185	183	104	95
188	181	100	100
188	182	100	100
189	182	101	101
185	183	111	101
188	185	106	98
187	184	110	103
193	186	99	99
194	187	99	99
194	187	100	100
195	188	100	100
201	167	90	101
198	167	96	102
197	169	99	99
193	170	109	100
196	168	105	105
197	169	105	105
192	169	115	106
190	167	121	111
200	166	104	117
204	169	98	110
179	173	105	105
185	180	93	93
191	180	83	94
197	183	89	89
198	184	89	89
194	180	98	98
194	181	98	98
195	181	99	99
195	182	99	99
196	182	100	100
196	165	100	93
199	165	97	97
199	165	97	97
200	166	98	98
200	166	98	98
201	167	99	99
207	167	88	99
205	179	94	94
185	176	95	101
190	178	87	98
196	181	93	93
196	178	94	102
195	180	98	98
195	176	99	108
199	179	92	103
197	178	98	107
196	181	103	103
196	182	103	103
197	182	104	104
197	183	104	104
202	187	97	97
206	188	90	97
205	187	94	100
183	186	97	104
187	192	90	93
187	193	92	92
188	194	93	93
191	175	86	93
190	173	90	98
189	175	95	95
189	176	95	95
190	172	96	104
188	174	100	100
188	175	101	101
189	175	101	101
189	176	102	102
190	176	102	102
190	177	103	103
191	178	103	103
195	178	96	104
198	181	93	100
197	183	97	97
201	163	90	97
199	162	94	101
198	160	98	107
197	159	103	110
195	158	107	114
175	160	111	111
176	165	111	103
178	168	107	99
181	166	104	104
182	167	104	104
182	171	105	97
185	170	101	101
185	170	102	102
181	171	111	102
184	169	107	107
185	174	108	100
187	172	104	104
188	173	104	104
188	173	105	105
189	174	105	105
189	174	106	106
190	175	106	106
168	176	107	107
175	182	95	95
175	183	96	96
176	188	96	86
179	186	91	91
179	187	92	92
185	187	82	92
183	190	88	88
183	187	88	96
182	166	92	101
180	168	97	97
181	169	97	97
181	169	98	98
182	170	98	98
182	170	99	99
183	171	99	99
183	171	100	100
184	172	100	100
184	172	101	101
185	173	101	101
185	173	102	102
186	174	102	102
186	174	103	103
187	175	103	103
191	179	96	96
192	180	97	97
189	180	104	97
191	179	101	101
170	180	101	101
171	186	102	91
174	183	97	97
174	188	97	90
177	186	94	94
177	187	94	94
178	187	95	95
178	188	95	95
179	188	96	96
179	168	96	96
180	169	97	97
180	169	97	97
181	170	98	98
181	170	98	98
181	171	99	99
182	171	99	99
182	172	100	100
183	172	100	100
183	173	101	101
184	173	101	101
185	174	102	102
180	174	112	102
178	173	117	107
182	171	113	113
186	176	105	105
187	176	105	105
191	177	98	106
194	179	94	102
193	182	99	99
181	182	88	99
179	186	94	94
180	186	94	94
180	186	95	95
181	187	95	95
186	187	85	96
184	171	91	91
185	172	91	91
185	172	92	92
186	173	92	92
186	173	93	93
187	174	93	93
187	174	94	94
187	175	94	94
188	175	95	95
188	176	95	95
189	176	96	96
189	176	96	96
190	177	97	97
190	177	97	97
194	178	90	98
193	180	95	95
194	181	95	95
194	178	96	102
198	180	88	99
196	180	94	101
195	179	98	105
200	181	90	102
177	181	96	103
191	183	89	100
188	162	95	103
187	165	100	100
187	166	100	100
188	166	101	101
188	167	101	101
189	167	102	102
189	168	102	102
190	168	103	103
190	169	103	103
191	169	104	104
187	170	114	104
190	174	109	97
193	172	103	103
198	172	96	104
196	175	100	100
197	175	101	101
197	176	101	101
198	176	102	102
195	177	109	102
197	176	106	106
198	176	107	107
198	177	107	107
199	181	108	100
201	180	104	104
202	180	105	105
203	185	105	97
205	184	102	102
206	184	102	102
206	185	103	103
207	185	103	103
211	186	96	104
213	188	93	100
212	187	97	103
215	189	93	100
214	192	97	97
218	192	90	97
216	191	94	103
215	172	99	99
215	168	99	108
217	171	97	104
211	169	110	110
218	174	98	102
218	171	101	110
216	169	106	115
220	172	99	111
218	175	105	105
224	176	94	106
222	179	100	100
222	175	101	110
226	178	94	106
224	182	100	100
213	182	90	101
211	181	96	104
215	184	89	100
212	183	95	104
216	186	89	100
214	189	95	95
214	190	95	95
215	190	96	96
215	190	96	96
220	191	89	97
223	193	83	93
221	192	88	96
220	191	93	101
224	193	86	97
222	192	92	100
225	195	86	97
223	194	92	100
225	193	89	103
222	194	96	103
225	196	92	100
227	194	89	105
229	195	87	106
229	200	89	97
228	199	93	100
230	202	90	97
229	200	94	102
231	202	91	98
233	205	88	95
237	207	81	92
235	206	87	95
